	word	sentiment	sentiment_average
326	constantli	-0.6142	-0.3071
327	front	-0.6116	-0.067955556
328	bed	-0.6115	-0.30575
329	billion	-0.6039	-0.30195
330	consciou	-0.601	-0.3005
331	answer	-0.6007	-0.150175
332	movement	-0.5859	-0.29295
333	descend	-0.5822	-0.194066667
334	last	-0.5721	-0.03814
335	exercis	-0.571	-0.095166667
336	that	-0.5694	-0.2847
337	necessarili	-0.5619	-0.1873
338	immedi	-0.5601	-0.28005
339	uncomfort	-0.5597	-0.27985
340	bolt	-0.5574	-0.5574
341	typic	-0.5569	-0.079557143
342	hopefulli	-0.5565	-0.27825
343	row	-0.5561	-0.139025
344	weird	-0.5555	-0.1111
345	nerv	-0.5554	-0.185133333
346	engin	-0.5486	-0.014066667
347	root	-0.5455	-0.181833333
348	race	-0.5442	-0.2721
349	sign	-0.5423	-0.180766667
350	late	-0.5363	-0.178766667
351	around	-0.5292	-0.06615
352	former	-0.5267	-0.26335
353	manag	-0.5239	-0.087316667
354	leav	-0.5238	-0.047618182
355	expect	-0.5148	-0.2574
356	dozen	-0.5106	-0.2553
357	swing	-0.5106	-0.2553
358	tilt	-0.5106	-0.2553
359	center	-0.5106	-0.2553
360	pictur	-0.5086	-0.10172
361	memori	-0.5046	-0.1682
362	identifi	-0.5033	-0.25165
363	bathtub	-0.4966	-0.2483
364	eventu	-0.4939	-0.24695
365	insid	-0.4885	-0.24425
366	solo	-0.4868	-0.2434
367	mile	-0.4848	-0.069257143
368	singl	-0.4834	-0.09668
369	tonn	-0.4767	-0.4767
370	slight	-0.4767	-0.1589
371	contribut	-0.4767	-0.23835
372	challeng	-0.4719	-0.23595
373	instanc	-0.4703	-0.117575
374	react	-0.4661	-0.23305
375	wherev	-0.4588	-0.2294
376	nervous	-0.4491	-0.22455
377	basic	-0.4449	-0.040445455
378	uncl	-0.4428	-0.2214
379	fairli	-0.4387	-0.21935
380	measur	-0.4363	-0.08726
381	tire	-0.4361	-0.145366667
382	american	-0.4348	-0.2174
383	respond	-0.4337	-0.108425
384	crazi	-0.4281	-0.1427
385	learn	-0.4279	-0.02037619
386	rare	-0.4241	-0.035341667
387	consist	-0.4206	-0.2103
388	moment	-0.4181	-0.0522625
389	captain	-0.4181	-0.059728571
390	belief	-0.4173	-0.20865
391	saw	-0.4157	-0.138566667
392	piec	-0.4049	-0.134966667
393	space	-0.4033	-0.08066
394	anticip	-0.4019	-0.20095
395	throw	-0.4019	-0.133966667
396	present	-0.4019	-0.20095
397	recurr	-0.4019	-0.20095
398	aerophob	-0.4019	-0.20095
399	broken	-0.3995	-0.19975
400	unnatur	-0.3912	-0.1956
401	educ	-0.3912	-0.1304
402	push	-0.3843	-0.19215
403	differ	-0.3821	-0.03821
404	your	-0.3818	-0.1909
405	yet	-0.3706	-0.03706
406	coupl	-0.3682	-0.03682
407	ag	-0.3681	-0.1227
408	redesign	-0.3612	-0.3612
409	strike	-0.3502	-0.08755
410	affect	-0.3475	-0.057916667
411	lion	-0.3435	-0.17175
412	reliabl	-0.3426	-0.06852
413	perspect	-0.34	-0.17
414	line	-0.34	-0.056666667
415	studi	-0.3384	-0.1692
416	cloud	-0.3384	-0.1692
417	million	-0.3335	-0.16675
418	precis	-0.3327	-0.1109
419	examin	-0.3286	-0.1643
420	tv	-0.3264	-0.1632
421	accord	-0.3238	-0.107933333
422	nois	-0.3232	-0.0808
423	maximum	-0.3197	-0.079925
424	atlant	-0.3182	-0.1591
425	occur	-0.318	-0.0636
426	hear	-0.3149	-0.034988889
427	licens	-0.3129	-0.078225
428	doorstep	-0.3116	-0.1558
429	troubl	-0.3057	-0.15285
430	rudder	-0.3057	-0.15285
431	cope	-0.296	-0.148
432	russia	-0.296	-0.148
433	direct	-0.2924	-0.097466667
434	current	-0.2917	-0.14585
435	energi	-0.2842	-0.1421
436	arm	-0.2789	-0.13945
437	excess	-0.2781	-0.0927
438	wast	-0.2732	-0.1366
439	morn	-0.2732	-0.1366
440	mindset	-0.2732	-0.091066667
441	regul	-0.2584	-0.028711111
442	driver	-0.251	-0.035857143
443	coast	-0.25	-0.125
444	address	-0.2489	-0.082966667
445	appli	-0.2488	-0.0622
446	autopilot	-0.2415	-0.04025
447	roar	-0.2297	-0.11485
448	mention	-0.2291	-0.032728571
449	replac	-0.2277	-0.0284625
450	lorazepam	-0.222	-0.111
451	old	-0.217	-0.027125
452	foreign	-0.2157	-0.10785
453	rule	-0.215	-0.071666667
454	everywher	-0.2142	-0.0306
455	amount	-0.2099	-0.0262375
456	woman	-0.2041	-0.10205
457	tight	-0.1996	-0.066533333
458	fly	-0.197	-0.024625
459	area	-0.1926	-0.0321
460	kei	-0.1872	-0.0468
461	mask	-0.1856	-0.061866667
462	claustrophobia	-0.1845	-0.0615
463	grab	-0.184	-0.061333333
464	final	-0.1834	-0.0262
465	notabl	-0.183	-0.0915
466	full	-0.182	-0.0455
467	inflight	-0.1818	-0.0606
468	father	-0.1779	-0.08895
469	earth	-0.1749	-0.02915
470	cours	-0.1704	-0.018933333
471	state	-0.1688	-0.03376
472	boyfriend	-0.1643	-0.041075
473	process	-0.1545	-0.07725
474	shot	-0.143	-0.0715
475	canada	-0.138	-0.069
476	solv	-0.1375	-0.06875
477	comput	-0.1359	-0.0453
478	random	-0.1327	-0.06635
479	yeah	-0.1255	-0.06275
480	bui	-0.1228	-0.0307
481	airspe	-0.1215	-0.0405
482	teach	-0.1215	-0.030375
483	rather	-0.1163	-0.019383333
484	till	-0.1116	-0.0558
485	alreadi	-0.1103	-0.015757143
486	food	-0.1078	-0.0539
487	wear	-0.1035	-0.0345
488	bend	-0.1027	-0.1027
489	pai	-0.1027	-0.05135
490	fianc	-0.1027	-0.05135
491	individu	-0.101	-0.033666667
492	order	-0.0993	-0.0331
493	electron	-0.0772	-0.0386
494	devic	-0.0772	-0.0386
495	adjust	-0.0772	-0.0386
496	pick	-0.0736	-0.024533333
497	reduc	-0.0723	-0.0241
498	low	-0.0718	-0.007977778
499	continu	-0.0707	-0.0101
500	word	-0.0637	-0.021233333
501	occupi	-0.0614	-0.020466667
502	job	-0.0582	-0.0194
503	medicin	-0.0516	-0.0258
504	rollercoast	-0.0499	-0.012475
505	pressur	-0.049	-0.0245
506	program	-0.0461	-0.02305
507	appear	-0.0388	-0.0194
508	deal	-0.0378	-0.004725
509	small	-0.0315	-0.00225
510	cop	-0.0258	-0.0129
511	cut	-0.0258	-0.0129
512	exposur	-0.0234	-0.003342857
513	thirti	-0.0206	-0.0103
514	transport	-0.0163	-0.00326
515	other	-0.0092	-0.001533333
516	book	-0.0034	-0.000425
517	system	-0.003	-0.0001875
518	bear	0	0
519	ferri	0	0
520	halfwit	0	0
521	cross	0	0
522	etern	0	0
523	includ	0	0
524	cheapli	0	0
525	sea	0	0
526	africa	0	0
527	publish	0	0
528	carrier	0	0
529	environ	0	0
530	left	0	0
531	focu	0	0
532	channel	0	0
533	duti	0	0
534	parent	0	0
535	senior	0	0
536	indol	0	0
537	regularli	0	0
